CRIME REVIEW FOR THE MONTH OF OCTOBER - 2024 (As on  02/11/2024),,,,,,,
Sl. No.,Heads Of Crime,Major Head,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
465,A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),To settle Dispute,13,4,2,2
466,A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),Others,301,30,28,29
467,A - IPC Crime,"INFANTICIDE (Sec.315, 316 IPC)",Male,1,0,0,1
468,A - IPC Crime,"INFANTICIDE (Sec.315, 316 IPC)",Female,1,0,0,0
469,A - IPC Crime,OFFENCES RELATED TO MARRIAGE (Sec.493 to 498 IPC),NA,30,6,2,3
470,A - IPC Crime,"BUYING & SELLING MINOR FOR PROSTITUTION (Sec.372, 373 IPC)",NA,0,0,0,0
471,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Documents  ,1,0,0,0
472,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Property  ,1,2,0,0
473,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC),Persons ,5,1,0,0
474,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC),Printed Matter,2,0,0,0
475,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC),Others,2,0,0,0
476,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC),Assembly,9,1,0,3
477,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC),Parliament,153,0,0,0
478,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC),Other Elected Bodies,13,0,0,0
479,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Man,0,0,0,0
480,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Woman,0,0,0,0
481,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Boy,0,0,0,0
482,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Girl,0,0,0,0
483,A - IPC Crime,Attempting to commit offences (Sec.511 IPC),Attempting to commit offences,188,17,18,18
484,A - IPC Crime,ILLEGAL DETENTION (Sec.342 IPC),NA,0,0,0,0
485,A - IPC Crime,FALSE EVIDENCE (Sec.191 to 205 IPC),NA,6,1,0,2
486,A - IPC Crime,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC),Boy ,28,4,0,4
487,A - IPC Crime,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC),Girl,24,3,4,4
488,A - IPC Crime,OF ABETMENT (Sec.107 to 120 IPC),NA,9,2,2,1
489,A - IPC Crime,"FAILURE TO APPEAR TO COURT (Sec.174, 229A IPC)",174 A,77,11,10,12
490,A - IPC Crime,"FAILURE TO APPEAR TO COURT (Sec.174, 229A IPC)",229 A,322,40,32,72
491,A - IPC Crime,Concealment of birth by secret disposal of Child,Girl,10,1,0,1
492,A - IPC Crime,Concealment of birth by secret disposal of Child,Boy,26,4,4,2
493,A - IPC Crime,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN,NA,10,1,1,2
494,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Others,13,1,0,1
495,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Private Institution,12,0,0,0
496,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Govt. Institution,1,0,0,1
497,A - IPC Crime,Human Trafficking,Eunuch,0,0,0,0
498,A - IPC Crime,Human Trafficking,Men,3,0,0,1
499,A - IPC Crime,Human Trafficking,Boy,7,0,0,1
500,A - IPC Crime,Human Trafficking,Women,0,0,0,0
501,A - IPC Crime,Human Trafficking,Girl,2,1,0,0
502,A - IPC Crime,Aadhaar Act,Impersonation,1,0,0,0
503,A - IPC Crime,Aadhaar Act,Offence by Company,0,0,0,0
504,A - IPC Crime,Aadhaar Act,Offence by individual,0,0,0,0
505,A - IPC Crime,Giving false information respecting an offence com,Giving false information respecting an offence committed,3,1,0,1
506,B - SPECIAL & LOCAL LAWS,ANTIQUES (CULTURAL PROPERTY),Antiques & Art Treasures Act 1972,0,0,0,0
507,B - SPECIAL & LOCAL LAWS,ANTIQUES (CULTURAL PROPERTY),Ancient Monument & Archaelogical Sites And Remains Act 1958,4,2,0,0
508,B - SPECIAL & LOCAL LAWS,ARMS ACT 1959,Country Made - Non Prohibited Bore - In Disturbed Area,18,2,2,0
509,B - SPECIAL & LOCAL LAWS,ARMS ACT 1960,Country Made - Non Prohibited Bore - In Other Area,89,12,16,2
510,B - SPECIAL & LOCAL LAWS,ARMS ACT 1961,Country Made - Prohibited Bore - In Disturbed Area,13,1,1,4
511,B - SPECIAL & LOCAL LAWS,ARMS ACT 1962,Country Made - Prohibited Bore - In Other Area,68,8,5,8
512,B - SPECIAL & LOCAL LAWS,ARMS ACT 1963,Factory Made - Non Prohibited Bore - In Disturbed Area,3,1,1,1
513,B - SPECIAL & LOCAL LAWS,ARMS ACT 1964,Factory Made - Non Prohibited Bore - In Other Area,21,2,2,1
514,B - SPECIAL & LOCAL LAWS,ARMS ACT 1965,Factory Made - Prohibited Bore - In Disturbed Area,2,0,0,0
515,B - SPECIAL & LOCAL LAWS,ARMS ACT 1966,Factory Made - Prohibited Bore - In Other Area,26,1,5,1
516,B - SPECIAL & LOCAL LAWS,ANIMAL,The Karnataka Prevention of Slaughter and Preservation of Cattle Ordinance 2020,128,10,8,13
517,B - SPECIAL & LOCAL LAWS,ANIMAL,Wild Life Preservation Act 1972,0,0,0,0
518,B - SPECIAL & LOCAL LAWS,ANIMAL,Wild Life Protection Act 1972,2,0,0,0
519,B - SPECIAL & LOCAL LAWS,ANIMAL,Prevention of Cruelty to Animals Act 1960,136,11,7,11
520,B - SPECIAL & LOCAL LAWS,ANIMAL,Elephant (Preservation) Act 1879,0,0,0,0
521,B - SPECIAL & LOCAL LAWS,ANIMAL,Cattle Tresspass Act 1871,3,0,0,0
522,B - SPECIAL & LOCAL LAWS,CINEMATOGRAPHY ACT 1952,Films,2,0,0,0
523,B - SPECIAL & LOCAL LAWS,CINEMATOGRAPHY ACT 1953,Video,0,0,0,0
524,B - SPECIAL & LOCAL LAWS,CONSUMER,Liquified Petroleum Gas Supply & Control Order 2000 ,58,4,4,5
525,B - SPECIAL & LOCAL LAWS,CONSUMER,Consumer (Protection) Act 1986,7,2,2,0
526,B - SPECIAL & LOCAL LAWS,CONSUMER,Essential Commodities Act 1955,377,42,28,24
527,B - SPECIAL & LOCAL LAWS,CONSUMER,Prevention of Food Adulternation Act 1954,3,0,0,0
528,B - SPECIAL & LOCAL LAWS,CONSUMER,Packaged Commodities (Regulation) order 1975,0,0,0,0
529,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1957,By Company,122,15,14,8
530,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1958,By Individual,67,0,3,5
531,B - SPECIAL & LOCAL LAWS,CIVIL RIGHTS,Protection of Civil Rights Act 1955,2,0,0,2
532,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste  ,1085,135,112,94
533,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes,210,25,16,22
534,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste Women,418,41,45,33
535,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes Women,100,6,10,10
536,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Labour (Prohibition & Regulation) Act1986,91,5,5,1
537,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Marriage (Restraint) Act - 1929,131,11,11,8
538,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Juvenile Justice Act 1986,121,3,10,9
539,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Probation of offenders Act 1958,1,0,1,0
540,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Protection of Children from Sexual Offences Act 2012 (POCSO),0,0,0,0
541,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Elected,0,0,0,0
542,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1989,Public Servant - Gazetted - Central,0,0,0,0
543,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1990,Public Servant - Gazetted - Defence,0,0,0,0
544,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1991,Public Servant - Gazetted - Public Sector Undertaking,0,0,0,0
545,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1992,Public Servant - Gazetted - State,0,0,0,0
546,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1993,Public Servant - Non-Gazetted - Central,0,0,0,0
547,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1994,Public Servant - Non-Gazetted - Defence,0,0,0,0
548,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1995,Public Servant - Non-Gazetted - State,0,0,0,0
549,B - SPECIAL & LOCAL LAWS,CUSTOMS,Customs Act 1962,0,0,0,0
550,B - SPECIAL & LOCAL LAWS,CUSTOMS,Import/Export (Control) Act 1947,0,0,0,0
551,B - SPECIAL & LOCAL LAWS,Explosives,Explosives Substances Act 1908,23,8,1,4
552,B - SPECIAL & LOCAL LAWS,Explosives,Explosives Act 1884,92,181,4,51
553,B - SPECIAL & LOCAL LAWS,Explosives,Inflammable Substance Act 1952,0,0,0,0
554,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Smugglers and Foreign Exchange Manipulator Act 1976,0,0,0,0
555,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1973,0,0,0,0
556,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1952,0,0,0,0
557,B - SPECIAL & LOCAL LAWS,FOREIGNER,Foreigners Act 1946,51,0,13,5
558,B - SPECIAL & LOCAL LAWS,FOREIGNER,Registration of Foreigners Act 1939,0,0,0,0
559,B - SPECIAL & LOCAL LAWS,FOREST,Indian Forest Act 1927,2,1,0,0
560,B - SPECIAL & LOCAL LAWS,FOREST,Forest (Conservation) Act 1980,7,1,0,0
561,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - In India,0,0,0,0
562,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - Outside India,0,0,0,0
563,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - In India,0,0,0,0
564,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - Outside India,0,0,0,0
565,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Organised,184,16,16,20
566,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Un-Organised,67,7,7,7
567,B - SPECIAL & LOCAL LAWS,BONDED LABOUR SYSTEM,NA,3,0,2,0
568,B - SPECIAL & LOCAL LAWS,INDIAN MOTOR VEHICLE,NA,306,1,16,10
569,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Cultivated/Processed,1240,82,140,110
570,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Synthetic,1871,143,199,164
571,B - SPECIAL & LOCAL LAWS,PASSPORT ACT,Foreigner,3,0,1,0
572,B - SPECIAL & LOCAL LAWS,PASSPORT ACT,Indian,1,0,0,0
573,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,Assembly,7,1,0,2
574,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1989,Parliament,104,0,1,0
575,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1990,Other Elected Bodies,10,0,0,0
576,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),4076,556,345,407
577,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1964,Street Gambling (87),4856,522,374,456
578,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1965,House Gambling (79 & 80),223,18,19,29
579,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1966,Betting ,409,110,3,9
580,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1967,Others ,479,38,41,36
581,B - SPECIAL & LOCAL LAWS,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,NA,136,13,8,9
582,B - SPECIAL & LOCAL LAWS,"POST & TELEGRAPH, TELEGRAPH WIRES (UNLAWFUL POSSESSION) ACT 1980",NA,2,0,0,0
583,B - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Official Secrets Act 1923,0,0,0,0
584,B - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Essential Services Maintenance Act 1981,0,0,0,0
585,B - SPECIAL & LOCAL LAWS,PREVENTION OF TERRORISM ACT (POTA),NA,0,0,0,0
586,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Indian Railways Act 1989,1,0,0,0
587,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Railway Property (Unlawful Possession) Act 1966,0,0,0,0
588,B - SPECIAL & LOCAL LAWS,UNLAWFUL ACTIVITIES (Prevention) Act 1967,NA,5,0,1,0
589,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Dowry Prohibition,1593,194,121,113
590,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Commission of SATI (Prevention) Act 1987,0,0,0,0
591,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Indecent Representation of Women (Prohibition) Act 1986,1,0,0,0
592,B - SPECIAL & LOCAL LAWS,INDIAN LUNACY ACT,NA,0,0,0,0
593,B - SPECIAL & LOCAL LAWS,INDIAN ELECTRICITY ACT,NA,6,4,0,0
594,B - SPECIAL & LOCAL LAWS,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",NA,784,70,76,45
595,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Disaster Management Act 2005,1,0,0,0
596,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Banning of Unregulated Deposit Schemes Act,17,0,0,3
597,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Prevention of Insult to National Hounours Act 1971,9,3,2,2
598,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"The Karnataka Prevention of Dangerous Activities of Bootleggers, Drug-offenders, Gamblers, Goonda Act",0,0,0,0
599,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Cow Slaughters Act,208,17,21,17
600,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prevention of Slaughter and Preservation of Cattle Act 2020,171,10,15,21
601,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Epidemic Deseases Act 2020,0,0,0,0
602,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"Motor Spirit and High Speed Diesel (Regulation of upply, Distribution and Prevention of Malpractice",0,0,0,0
603,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"Prevention of violence against Doctors, Medical professionals and Medical institutions",9,0,1,2
604,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Excise Act 1965,5902,448,457,572
605,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Forest Act 1963,55,9,10,4
606,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Education Act 1983 As Amended Upto Date,6,0,0,0
607,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Restriction Unuse Act 1956,0,0,0,0
608,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka University Act,0,0,0,0
609,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Corruption Act,1,0,0,0
610,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Medical Registration Act 1965,1,0,0,0
611,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land & Revenue Act 1964 & 2007,26,2,8,4
612,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Dealers License Order 1969,0,0,0,0
613,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Society Registration Act,0,0,0,0
614,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Minor Mineral Consistent Rule 1994,33,3,1,2
615,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Bangalore Development Authority Act,0,0,0,0
616,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Beggery Act 1975,17,2,4,0
617,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Municipalities Act 1964,0,0,0,0
618,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Irrigation Act 1963,2,2,0,0
619,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Fire Force act 1964,4,1,2,0
620,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Consumer Protection Act 1986,0,0,0,0
621,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Lottery Act,40,9,4,3
622,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Weight & Measurement Act,0,0,0,0
623,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Agriculture Marketing Regulation Act,0,0,0,0
624,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Revenue Act,2,0,0,0
625,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Mining Act,0,0,0,0
626,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Betting Tax Act,0,0,0,0
627,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Panchayat Raj Act,0,1,0,0
628,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Open Place Disfigurement Act 1951,603,6,232,15
629,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Right To Information Act 2000 & 2008,0,0,0,0
630,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Urban Development Act 1987,0,0,0,0
631,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Town & City Planning Act 1961,0,0,0,0
632,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Race Betting Act,0,0,0,0
633,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Devadasi's (Prohibition Of Dedication) Act 1982,1,0,0,0
634,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Cooperative Society Act,0,0,0,0
635,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Entertainment Tax Act 1958,3,0,0,1
636,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land Acquisition (Prohibition) Act 2007,0,0,0,0
637,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Money Lender Act 1961,14,1,1,1
638,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Stamp Act 1957,0,0,0,0
639,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prisoners Act 1963 & 1974,50,4,7,11
640,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Private Medical Institution Act 2007,1,1,0,0
641,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,MMRD (Mines & Minerals Regulation Development ) Act 1957,71,17,2,10
642,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Treasure Trove Act 1962,0,0,0,0
643,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Charging Exorbitant Interest Act 2004,13,2,1,2
644,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Ayurvedic And Unani Pract. Regis. & Medical Prac. Misc. Prov. Act,0,0,0,0
645,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Other Local Acts,123,7,14,11
646,B - SPECIAL & LOCAL LAWS,CYBER CRIME,CSAM (Child Pornography). Cyber Tip Line,2,0,0,2
647,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Advertising Frauds,5,0,0,5
648,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Job Fraud,65,0,3,51
649,B - SPECIAL & LOCAL LAWS,CYBER CRIME,"Otp Frauds (KYC Update, Apk Link)",93,0,3,77
650,B - SPECIAL & LOCAL LAWS,CYBER CRIME,SIM card Swapping / SIM Jacking / SIM Cloning,5,0,0,5
651,B - SPECIAL & LOCAL LAWS,CYBER CRIME,OLX Fraud,19,0,0,18
652,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Fedex,112,0,0,105
653,B - SPECIAL & LOCAL LAWS,CYBER CRIME,"Investment Fraud (Part Time Job, Task, Review)",231,0,4,194
654,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Online Money Transfer,106,0,5,70
655,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Digital Arrest,152,0,0,152
656,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Credit Card Fraud,117,0,5,97
657,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Email Spoofing / Fraud,4,0,0,3
658,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Loan App,26,0,0,26
659,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Hacking of Accounts & Ids,16,0,0,8
660,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Sextortion and Revenge Porn,7,0,0,7
661,B - SPECIAL & LOCAL LAWS,CYBER CRIME,AEPS (Aadhaar),2,0,0,2
662,B - SPECIAL & LOCAL LAWS,CYBER CRIME,"Gifts, iPhone & Lottery Fraud",17,0,2,12
663,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Social Media Cases (Instagram/Facebook/Whatsapp/X /Telegram ect),59,0,0,42
664,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Data Theft,6,0,0,1
665,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Deep Fake/Deep Nudes,2,0,0,2
666,B - SPECIAL & LOCAL LAWS,CYBER CRIME,"Information Technology Act 2000, 2009",17385,2128,1656,324
667,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Card Skimming,0,0,0,0
668,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Remote Access Fraud  (Any Desk/ Team Viewer),0,0,0,0
669,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Fake Customer Care,32,0,0,32
670,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Investment Fraud (Trading & Share Trading),300,0,8,264
671,B - SPECIAL & LOCAL LAWS,CYBER CRIME,"Ransomeware Attack, Installing Spyware & Troman, Using Other Malware & Viruses to infect degital serv",0,0,0,0
672,B - SPECIAL & LOCAL LAWS,CYBER CRIME,"Crypto Currency, Bitcoin, etc.",11,1,0,11
673,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Business Fraud,10,0,0,10
674,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Matrimony Fraud,9,0,0,9
675,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Phishing (Taking Password & Information),8,0,0,8
676,B - SPECIAL & LOCAL LAWS,CYBER CRIME,ATM Fraud,2,0,0,2
677,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Others ,110,0,0,102
678,B - SPECIAL & LOCAL LAWS,NATIONAL SECURITY ACT,NA,0,0,0,0
679,B - SPECIAL & LOCAL LAWS,POCSO,Custodial Rape,1,0,0,0
680,B - SPECIAL & LOCAL LAWS,POCSO,Gang Rape,1,0,1,0
681,B - SPECIAL & LOCAL LAWS,POCSO,Rape with Murder,6,1,0,0
682,B - SPECIAL & LOCAL LAWS,POCSO,Rape,2446,231,229,153
683,B - SPECIAL & LOCAL LAWS,POCSO,Others ,837,75,84,56
684,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.1  Custodial Rape,1,0,0,0
685,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.2  Gang Rape,12,1,0,2
686,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.3  other Cases of Rape,523,53,51,49
687,C. CRIMES AGAINST WOMEN,Outraging modesty (Molestation) (sec.354 IPC),NA,5475,594,472,457
688,C. CRIMES AGAINST WOMEN,Kidnapping & Abduction of Women: (Sec.366 IPC),NA,113,12,6,16
689,C. CRIMES AGAINST WOMEN,Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC if victim is a woman),NA,146,13,27,21
690,C. CRIMES AGAINST WOMEN,Murder for Dowry - by burning (Sec.302 IPC),NA,0,0,0,0
691,C. CRIMES AGAINST WOMEN,"Murder for Dowry - by other means
(Sec.302 IPC)",NA,11,1,2,1
692,C. CRIMES AGAINST WOMEN,Murder for other reasons,NA,316,36,32,21
693,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by burning (Sec.307 IPC),NA,1,0,0,0
694,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by other means (Sec.307 IPC),NA,32,3,4,3
695,C. CRIMES AGAINST WOMEN,Attempt to Commit murder for other reasons,NA,635,52,51,68
696,C. CRIMES AGAINST WOMEN,"Dowry Death-by burning
(Sec.304-B IPC)",NA,1,1,1,0
697,C. CRIMES AGAINST WOMEN,Dowry Death-by other Means (Sec.304(B) IPC),NA,99,13,13,9
698,C. CRIMES AGAINST WOMEN,Cruelty by Husband or Relatives of Husband (Sec.498-A IPC),NA,2584,292,248,244
699,C. CRIMES AGAINST WOMEN,Abetment of Suicide (Sec.306 IPC),NA,261,9,12,6
700,C. CRIMES AGAINST WOMEN,Immoral Traffic (prevention) Act.,NA,251,23,23,27
701,C. CRIMES AGAINST WOMEN,Indecent Representation of Women(Prohibition) Act-1986,NA,1,0,0,0
702,C. CRIMES AGAINST WOMEN,Pornography,NA,0,0,0,0
703,C. CRIMES AGAINST WOMEN,Offences against Public Servants (Sec.182-188-333-353 IPC),NA,108,13,20,5
704,C. CRIMES AGAINST WOMEN,Offences related to Marriage,NA,26,2,2,3
705,C. CRIMES AGAINST WOMEN,Cyber Crimes,NA,5717,704,556,517
706,D.CRIME AGAINST CHILDREN,"Infanticide/ Foeticide 
(Sec. 315 & 316 IPC)",NA,1,0,0,1
707,D.CRIME AGAINST CHILDREN,Rape on Minor,NA,0,0,0,0
708,D.CRIME AGAINST CHILDREN,Exposure & abandonment (Sec. 317 IPC),NA,52,7,4,8
